study;year;no;study_type;latitude;longitude;ecosystem;altitude;sampling_month;genus;species;stage;astaxanthin_or_carotenoids;astaxanthin_on_total_car;asta_form;concentration;unit;unit_conversion;daily_pic_moment;seasonal_pic_season;seasonal_pic_month;predator_abundance;blue_color;comments
Trudnowska et al.;2020;NA;forcing variables;77;16.2;marine;NA;july;Calanus;Calanus glacialis;mixed;astaxanthin;NA;NA;0.6;ug/mgDW;no;NA;NA;NA;NA;no;
Van der Meeren ;2008;NA;pigment identification;60;5;marine;NA;all_year_long;mixed;Eurytemora affinis, Centropages hamatus, Acartia grani;mixed;astaxanthin;100;100% free;0.686;ug/mgDW;no;NA;winter;december;NA;no;but jan, fev, march not sampled
Van der Veen;2005;NA;forcing variables + redness and fitness and no_quantification;54;10;freshwater;1;NA;Macrocyclops;Macrocyclops albidus;adults;NA;NA;NA;NA;NA;no;NA;NA;NA;high;no;
Van Nieuwerburgh et al.;2004;NA;forcing variables;63;9;marine;NA;august_july;mixed;Acartia sp., Paracalanus, Pseudocalanus, Temora, Oithona;mixed;astaxanthin;99;55% free, 35% monoester, 10% diester;14.6;umol.molC-1;no;max morning ;NA;NA;NA;no;canthaxanthin in negligible amounts
Vestheim & Kaartvedt;2006;NA;forcing variables;59;10;marine;NA;february;Paraeuchaeta;Pareuchaeta norvegica;adults_females;NA;NA;NA;236.5;mean grey value;no;max night, min day;NA;NA;NA;no;method to quantify color based on image analysis
Vinebrook & Leavitt;1999;NA;redness and fitness and no_quantification;51;-116;freshwater;2217;NA;Hesperodiaptomus;Hesperodiaptomus arcticus;mixed;NA;NA;NA;NA;NA;no;NA;NA;NA;null;no;strongly pigmented
Weaver et al.;2016;NA;forcing variables;25;-121;marine;NA;NA;Tigriopus;Tigriopus japonicus;adults;astaxanthin;95;97% free, 3% ester;NA;NA;no;NA;NA;NA;NA;no;
Weaver et al.;2018;a;diet effect;32;-117;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults;astaxanthin;99;88% free, 3% monoester, 9% diesters;4.23;ug/mgDW;no;NA;NA;NA;NA;no;canthaxanthin as precursor
Weaver et al.;2018;a;diet effect;32;-117;marine;NA;NA;Tigriopus;Tigriopus californicus ;eggs;astaxanthin;NA;NA;10.53;ng.clutch-1;no;NA;NA;NA;NA;no;
Weaver et al.;2018;b;redness and fitness;32;-117;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults;NA;NA;NA;1.08;ug/mgDW;no;NA;NA;NA;NA;no;careful, carotenoids restored copepods and not wild individuals
Zengling et al.;2010;NA;forcing variables;24;118;marine;NA;april;Acartia;Acartia pacifica;adults;carotenoids;NA;NA;0.99;ug/mgDW;no;NA;NA;NA;NA;no;
Inaotombi et al.;2020;NA;forcing variables;30;80;freshwater;2446;april_may_september_october;mixed;Arctodiaptomus spp, Diaptomus spp.;adults;carotenoids;NA;NA;1120;ng.ind-1;no;NA;spring;april, may;high;no;
Inaotombi et al.;2020;NA;forcing variables;30;80;freshwater;2446;april_may_september_october;mixed;Arctodiaptomus spp, Diaptomus spp.;adults;carotenoids;NA;NA;710;ng.ind-1;no;NA;NA;NA;high;no;
Inaotombi et al.;2020;NA;forcing variables;29;79;freshwater;1936;april_may_september_october;mixed;Cyclops vicinus, Tropocyclops sp., Eucyclops sp.;adults;carotenoids;NA;NA;410;ng.ind-1;no;NA;NA;NA;high;no;
Inaotombi et al.;2020;NA;forcing variables;29;79;freshwater;1376;april_may_september_october;mixed;Arctodiaptomus spp, Diaptomus spp.;adults;carotenoids;NA;NA;550;ng.ind-1;no;NA;NA;NA;high;no;
Inaotombi et al.;2020;NA;forcing variables;29;79;freshwater;1360;april_may_september_october;Eucyclops;Eucyclops;nauplii;carotenoids;NA;NA;440;ng.ind-1;no;NA;NA;NA;high;no;
Inaotombi et al.;2020;NA;forcing variables;29;79;freshwater;1286;april_may_september_october;mixed;Cyclops vicinus, Tropocyclops sp., Eucyclops sp.;adults;carotenoids;NA;NA;450;ng.ind-1;no;NA;NA;NA;high;no;
Inaotombi et al.;2020;NA;forcing variables;29;79;freshwater;1219;april_may_september_october;mixed;Cyclops vicinus, Tropocyclops sp., Eucyclops sp.;adults;carotenoids;NA;NA;470;ng.ind-1;no;NA;NA;NA;high;no;
Basedow et al.;2019;NA;no_quantification;68;12;marine;NA;april_may;Calanus;Calanus finmarchicus;mixed;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;no;
Ohman et al. ;1989;NA;pigment identification;-45;171;marine;;november ;Neocalanus;Neocalanus tonsus;adults_late_copepodits;carotenoids;dominance;NA;0.2;ug/mgDW;yes;NA;NA;NA;NA;no;
Ohman et al. ;1989;NA;pigment identification;-45;171;marine;;november ;Neocalanus;Neocalanus tonsus;adults_females;carotenoids;dominance;NA;0.35;ug/mgDW;yes;NA;NA;NA;NA;no;
Browman et al.;2000;NA;no_quantification;48;-62;marine;NA;july_august;Calanus;Calanus finmarchicus;eggs;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;no;
Fasick et al.;2017;NA;no_quantification;41.75;-69.64;marine;NA;may;Calanus;Calanus finmarchicus;adults_late_copepodits;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;no;
Jarvis;1988;NA;no_quantification;-46;37;marine;NA;april;Pseudoboeckella;Pseudoboeckella volucris;adults;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;no;
Grobois & Rautio;2018;NA;no_quantification;48;-71;freshwater;NA;all_year_long;Leptodiaptomus;Leptopdiaptomus minutus;mixed;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;no;
Cui et al.;2021;NA;forcing variables;26.093;-102.86;freshwater;4050;april;Arctodiaptomus;Arctodiaptomus walterianus;nauplii;astaxanthin;dominance;87% ester, 13% free;1.67;ug/mgDW;no;NA;NA;NA;null;no;quantities calculated from what is written in the text, no info on figures
Cui et al.;2021;NA;forcing variables;26.093;-102.86;freshwater;4050;april;Arctodiaptomus;Arctodiaptomus walterianus;copepodits;astaxanthin;dominance;NA;2.285;ug/mgDW;no;NA;NA;NA;null;no;quantities calculated from what is written in the text, no info on figures
Cui et al.;2021;NA;forcing variables;26.093;-102.86;freshwater;4050;july;Arctodiaptomus;Arctodiaptomus walterianus;adults;astaxanthin;dominance;NA;3.49;ug/mgDW;no;NA;NA;NA;null;no;quantities calculated from what is written in the text, no info on figures
Cui et al.;2021;NA;forcing variables;26.093;-102.86;freshwater;4050;october;Arctodiaptomus;Arctodiaptomus walterianus;adults;astaxanthin;dominance;62%ester, 38%free;4.49;ug/mgDW;no;NA;NA;NA;null;no;quantities calculated from what is written in the text, no info on figures
Dur et al. ;2021;NA;no_quantification;NA;NA;marine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;no;
Azani & Rasdi;2021;NA ;no_quantification;NA;NA;marine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;no;
Powers et al.;2021;NA;redness and fitness;33.74;-118.38;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.278;ug/mgDW;no;NA;NA;NA;NA;no;only parental lines were kept here to have results close to real conditions, mean astaxanthin concentration per sex and and per sampling zone, computed from supplementary material data
Powers et al.;2021;NA;redness and fitness;32.81;-117.27;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_females;astaxanthin;dominance;NA;0.171;ug/mgDW;no;NA;NA;NA;NA;no;
Powers et al.;2021;NA;redness and fitness;32.81;-117.27;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.19;ug/mgDW;no;NA;NA;NA;NA;no;
Powers et al.;2021;NA;redness and fitness;32.37;-117.06;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_females;astaxanthin;dominance;NA;0.187;ug/mgDW;no;NA;NA;NA;NA;no;
Powers et al.;2021;NA;redness and fitness;32.37;-117.06;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.363;ug/mgDW;no;NA;NA;NA;NA;no;
Powers et al.;2021;NA;redness and fitness;33.32;-118.46;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.231;ug/mgDW;no;NA;NA;NA;NA;no;
Powers et al.;2021;NA;redness and fitness;37.26;-122.42;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_females;astaxanthin;dominance;NA;0.256;ug/mgDW;no;NA;NA;NA;NA;no;
Powers et al.;2021;NA;redness and fitness;37.26;-122.42;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.368;ug/mgDW;no;NA;NA;NA;NA;no;
Powers et al.;2021;NA;redness and fitness;32.7;-117.3;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_females;astaxanthin;dominance;NA;0.165;ug/mgDW;no;NA;NA;NA;NA;no;
Powers et al.;2021;NA;redness and fitness;32.7;-117.3;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.346;ug/mgDW;no;NA;NA;NA;NA;no;
Powers & Hills;2021;NA;redness and fitness and no_quantification;NA;NA ;marine;NA;NA;Tigriopus;Tigriopus californicus ;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;no;no quantification because only done on next generations that doesn't exists in the wild, really difficult to interpret
Mojib et al.;2014;NA;pigment identification;22.4575;39.0305;marine;NA;may;Pontella;Pontella sp.;NA;carotenoids;dominance;NA;NA;NA;no;NA;NA;NA;NA;yes;blue morphs, astaxanthin complex with proteins
Mojib et al.;2014;NA;pigment identification;22.4575;39.0305;marine;NA;may;Calanus;Calanus sp.;NA;carotenoids;dominance;NA;NA;NA;no;NA;NA;NA;NA;yes;blue morphs, astaxanthin complex with proteins
Mojib et al.;2014;NA;pigment identification;22.4575;39.0305;marine;NA;may;Acartia;Acartia fossae;NA;carotenoids;dominance;NA;NA;NA;no;NA;NA;NA;NA;yes;blue morphs, astaxanthin complex with proteins
Mojib et al.;2014;NA;pigment identification;22.4575;39.0305;marine;NA;may;Corycaeus;Corycaeus sp.;NA;carotenoids;dominance;NA;NA;NA;no;NA;NA;NA;NA;yes;blue morphs, astaxanthin complex with proteins
Vestheim et al.;2005;NA;no_quantification;59;10;marine;NA;april;Paraeuchaeta;Pareuchaeta norvegica;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;no;relation between pigmentation and in situ depth explored, but no quantificatio and statistical tests
Rahlff et al. ;2018;NA;no_quantification;3.40;138;marine;NA;october_november;Ivellopsis;Ivellopsis denticauda;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;comparison of reflectance of individual copepod and surface ocean
Rahlff et al. ;2018;NA;no_quantification;3.40;145;marine;NA;october_november;Pontella;Pontella fera;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;comparison of reflectance of individual copepod and surface ocean
Zagalsky & Herring;1972;NA;no_quantification;10.97;-20;marine;NA;NA;Labidocera;Labidocera acutifrons;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;description of the carotenoprotein 
Tester et al.;2004;NA;no_quantification;34.0;-76.70;marine;NA;february;Anomalocera;Anomalocera ornata;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;large adults performed reverse DVM while juveniles exhibit twilight vertical migrations
Venkataramana et al.;2017;NA;no_quantification;0;74.5;marine;NA;june ;Pontella;Pontella valida;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;fish confuse blue miroplastics and their preys 
Ory et al. ;2017;NA;no_quantification;27.1;-109.33;marine;NA;april;Pontella;Pontella sinica;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;fish confuse blue miroplastics and their preys 
Ory et al. ;2017;NA;no_quantification;27.1;-109.33;marine;NA;april;Sapphirina;Sapphirina sp.;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;fish confuse blue miroplastics and their preys 
Ory et al. ;2017;NA;no_quantification;27.1;-109.33;marine;NA;april;Corycaeus;Corycaeus sp.;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;fish confuse blue miroplastics and their preys 
Nakajima et al. ;2013;NA;no_quantification;2.83;104.03;marine;NA;october;Acartia;Acartia erythraea;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;first record of a blue Acartia, coral reefs ecosystem
Herring ;1965;NA;no_quantification;NA;NA;marine;NA;NA;Pontella;Pontella fera;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;Indian ocean, spectral analysis before and after separation of astaxanthin and protein
Medellin-Mora;2021;NA;no_quantification;-27;-104;marine;NA;october_november;Farranula;Farranula gibbula;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;only blue species among other neustonic copepod
Smith;1941;NA;no_quantification;13;120;marine;NA;NA;Labidocera;Labidocera glauca;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;first marine taxonomical identification of blue copepod
Lee et al.;1973;NA;pigment identification;49.54;-121.83;marine;NA;NA;Euchaeta;Euchaeta japonica;NA;astaxanthin;dominance;NA;NA;NA;no;NA;NA;NA;NA;yes;blue eggs 
Hays et al.;1994;NA;no_quantification and forcing variables;50;-20;marine;NA;NA;mixed;mixed;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;NA;no;analysis based on CPR samples, large spatial and temporal coverage, we took average position here, no possibility to analyse  pigmentation, carotenoid content issued from another study
